properties.nombre,properties.calle,properties.email,properties.sector,properties.dependencia_funcional,properties.tipo_establecimiento,properties.modalidad,properties.nivel,geometry.coordinates
I.S.F.T.E.A.,LAPRIDA,INFORMES@INSTITUTOIEA.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,INSTITUTO SUPERIOR DE FORMACIÓN DOCENTE Y TÉCNICA,Educación Común,Nivel Superior No Universitario (*),"-58.47421697013692,-34.53372845210623"
JARDIN DE INFANTES CRISTO REDENTOR,ROCA,JARDIN_CRISTOREDENTOR@YAHOO.COM,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,",-34.52227774871898"
COLEGIO SAN GABRIEL,GÜEMES E/ GASPAR CAMPOS Y MADERO,JARDIN@COLEGIOSANGABRIEL.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.4750073177334,-34.52844295567769"
JARDIN DE INFANTES SAN EDUARDO,ZUFRIATEGUI,PMOLINARI@STEDWARS.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.47322646672791,"
JARDIN DE INFANTES SAN GREGORIO,CARLOS F.MELO,SECREKINDER@GREGORYS.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.47399762369122,-34.52689369538757"
INSTITUTO PEDRO POVEDA,H. YRIGOYEN,PPEREZ@POVEDA.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.47769332828432,"
JARDIN DE INFANTES MIRASOLES,ESTRADA,JARDINSANIGNACIO@FIBERTEL.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.4877979255337,"
JARDIN DE INFANTES NIÑITO JESUS,TUCUMAN,DIRECCIONPRAGA@YAHOO.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.48818137397109,-34.51030218299917"
JARDIN DE INFANTES MI PEQUEÑO MUNDO,TOMAS EDISON,MHPEREZVARELA@HOTMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN DE INFANTES,Educación Común,Nivel Inicial,"-58.4777159561263,-34.53345200590519"
JARDIN MATERNAL MI PEQUEÑO MUNDO,25 DE MAYO,MPMUNDO_04@HOTMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN MATERNAL,Educación Común,Nivel Inicial,"-58.47706578495786,-34.5324890424352"
JARDIN MATERNAL DE MIMO,AV. MITRE,ELJARDIN@MIMO.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,JARDÍN MATERNAL,Educación Común,Nivel Inicial,"-58.52328588933216,"
BACHILLERATO DE ADULTOS ESBA. FLORIDA,AVELLANEDA,DIRECCIÓN_EF@FIBERTEL.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN MEDIA,Modalidad de Jóvenes y Adultos,Nivel Medio,"-58.50627335662995,-34.54126973870734"
COLEGIO MIGUEL HAM,GASPAR CAMPOS E/ ALVAREZ Y LAVALLE,SECPD@MICHAELHAM.ESC.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,",-34.53054040851288"
COLEGIO SAN GABRIEL,GÜEMES,SECUNDARIA@COLEGIOSANGABRIEL.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,"-58.47478474362089,-34.52830973010981"
INSTITUTO PEDRO POVEDA,H.YRIGOYEN E/ AZCUENAGA Y TAPIALES,INFORMES@POVEDA.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,",-34.51733547405274"
COLEGIO SAN EDUARDO,ZUFRIATEGUI,SECUNDARIA@STEDWARDS.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,"-58.47317011161118,"
COLEGIO SAN GREGORIO,F. MELO,SECREPOLI@GREGORYS.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,"-58.4742770448496,-34.52661246119595"
MARIA SANTISIMA DE LA LUZ,AZCUENAGA,SECUNDARIASECUNDARIOMSL@GEJMA.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,"-58.47710948661336,-34.5165086472561"
INSTITUTO MANUEL DORREGO,POSADAS,INSTITUTOMANUELDORREGO@HOTMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA SECUNDARIA,Educación Común,Nivel Secundario,"-58.51852282886529,-34.54559074191906"
ESCUELA LA BARRANCA,GASPAR CAMPOS,COLEGIOHIGHLANDS@YAHOO.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,",-34.53387529430921"
ESCUELA LA BARRANCA,GASPAR CAMPOS,COLEGIOHIGHLANDS@YAHOO.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Inicial,",-34.53387529430921"
INSTITUTO PEDRO POVEDA,H.IRIGOYEN,ANACABE@POVEDA.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.47855451817634,"
INSTITUTO MARIA SANTISIMA DE LA LUZ,AZCUENAGA,MARIASLALUZ@GMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.47717278359693,-34.51618234803675"
INSTITUTO MARIA SANTISIMA DE LA LUZ,AZCUENAGA,MARIASLALUZ@GMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Inicial,"-58.47717278359693,-34.51618234803675"
ESCUELA SAN GABRIEL,GÜEMES ESQ. GASPAR CAMPOS,PRIMARIA@COLEGIOSANGABRIEL.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.47487118825455,-34.52835623315349"
COLEGIO MICHAEL HAM,GASPAR CAMPOS E/ LAVALLE Y ALVAREZ,PRIMARIA@MCHAELHAM.ESC.EDU.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.47365952446734,"
COLEGIO SAN GREGORIO,MELO E/ MADERO Y SEGUROLA,SECREGB@GREGORYS.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.47411620379961,-34.52692265805405"
COLEGIO SAN EDUARDO,ZUFRIATEGUI,PRIMARIA@STEDWARDS.COM.AR,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,"-58.47328282094526,-34.53713636734932"
INSTITUTO CRISTIANO VICENTE LOPEZ,CHACABUCO,INSTITUTOCRISTIANO@HOTMAIL.COM,Privado,Dirección Provincial de Educación de Gestión Privada,ESCUELA DE EDUCACIÓN PRIMARIA,Educación Común,Nivel Primario,",-34.53542268490884"
